               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07564,            0.018834,            0.044332,             0.32477,             0.23064,             0.20742,             0.11094,            0.055233,           0.0097887,            0.024213,            0.070132,           0.0033187,           0.0033187
                   1,            0.054092,            0.016398,            0.023754,             0.39307,             0.36139,             0.27439,             0.14711,            0.050029,           0.0089575,            0.017471,            0.039802,           0.0063228,           0.0063228
                   2,            0.050703,              0.0159,            0.020838,             0.36141,             0.39175,             0.30511,             0.18455,            0.045813,           0.0094351,            0.016758,            0.009143,           0.0089968,           0.0089968
                   3,            0.047874,            0.016006,            0.019806,             0.33423,             0.38095,             0.30491,             0.18827,            0.043686,           0.0093398,             0.01607,            0.008515,            0.008515,            0.008515
                   4,            0.044478,            0.015809,            0.018404,             0.39334,             0.39092,             0.33855,             0.22015,            0.041036,           0.0093923,            0.015695,            0.008515,            0.008515,            0.008515
                   5,            0.042573,            0.015744,            0.017277,             0.38172,             0.39267,             0.33819,             0.22411,            0.040323,           0.0091335,            0.015897,             0.00802,             0.00802,             0.00802
                   6,            0.041105,            0.015738,            0.016553,             0.46013,             0.39005,             0.34625,             0.23107,            0.039064,             0.00927,            0.015661,            0.007525,            0.007525,            0.007525
                   7,            0.039645,            0.015629,            0.015413,             0.41154,              0.4225,             0.36617,             0.24969,            0.038459,            0.009112,            0.015509,             0.00703,             0.00703,             0.00703
                   8,               0.039,             0.01575,            0.015001,             0.41985,             0.40856,             0.35234,             0.24478,            0.038091,            0.009164,            0.015447,            0.006535,            0.006535,            0.006535
                   9,            0.038006,            0.015485,            0.014493,             0.38855,             0.42289,             0.36209,             0.24947,            0.037517,           0.0091831,            0.014456,             0.00604,             0.00604,             0.00604
                  10,            0.037226,             0.01528,            0.013569,             0.41922,             0.41465,             0.36025,             0.25257,            0.037681,           0.0090574,            0.015008,            0.005545,            0.005545,            0.005545
                  11,            0.037086,            0.015181,            0.013195,             0.42543,             0.41813,             0.35909,             0.25071,            0.037256,            0.009085,            0.014587,             0.00505,             0.00505,             0.00505
                  12,            0.036208,            0.015207,            0.012746,             0.39955,             0.44436,             0.36762,             0.26077,            0.037111,           0.0090955,            0.015082,            0.004555,            0.004555,            0.004555
                  13,            0.035278,            0.014824,            0.012059,             0.40733,             0.41845,             0.36953,              0.2605,            0.036615,            0.009075,            0.014646,             0.00406,             0.00406,             0.00406
                  14,            0.034514,            0.014818,            0.011616,             0.43663,             0.42255,             0.37425,             0.26622,               0.036,           0.0090763,            0.015125,            0.003565,            0.003565,            0.003565
                  15,            0.034242,            0.014937,            0.011314,             0.45073,             0.40255,              0.3737,             0.26735,            0.035995,           0.0091436,             0.01463,             0.00307,             0.00307,             0.00307
                  16,            0.033462,            0.014728,            0.011083,             0.42089,             0.43787,             0.38246,             0.27766,            0.035586,           0.0090931,            0.014377,            0.002575,            0.002575,            0.002575
                  17,            0.032937,            0.014736,            0.010722,             0.42769,             0.43426,              0.3819,             0.27733,            0.035388,            0.009129,            0.014801,             0.00208,             0.00208,             0.00208
                  18,             0.03233,            0.014706,           0.0099433,             0.41281,             0.42762,             0.37712,              0.2724,            0.035338,           0.0091747,            0.014699,            0.001585,            0.001585,            0.001585
                  19,            0.031647,            0.014459,           0.0096814,             0.43496,             0.42896,             0.38276,             0.27988,            0.034996,            0.009125,            0.014784,             0.00109,             0.00109,             0.00109
